,id,text,retweet_count,created_at,author,location,is_verified
0,1517289557741477890,"Bardzo ciekawe, według mnie, opracowanie   ",0,2022-04-21 23:49:55+00:00,AntoniPiechocki,,False
1,1517284025928495104,"  Jednym z powodów, dla których Czechy wysyłają Ukrainie tak dużą pomoc wojskową, jest nowy minister obrony kraju.

Jana Čern…",18,2022-04-21 23:27:56+00:00,52_macius,Poznań Stare Miasto / EU ,False
2,1517281903241482241,  Słowenia przekaże Ukrainie  jugosłowiańskie czołgi bojowe .  to wariant radzieckiego    ,17,2022-04-21 23:19:30+00:00,KozlowskiMarek,Wrocław,False
3,1517280783345635329,  CLIP                gg ,0,2022-04-21 23:15:03+00:00,BastardHegels,,False
4,1517280086541717504,   minut w Parlamencie Europejskim ⁦      ,9,2022-04-21 23:12:16+00:00,karolk18,,False
5,1517279617647882241,  UE zgodziła się na zakup ciężkiej broni do bezpłatnego transferu na Ukrainę – przewodniczący Rady Europejskiej Charles Mich…,44,2022-04-21 23:10:25+00:00,djankowski10,,False
6,1517278760390832128,"  Kateryna Mola: Who ordered Katya Gandziuk’s murder?
    ",5,2022-04-21 23:07:00+00:00,SamHarp65562239,,False
7,1517275454880821249,Słowenia przekaże Ukrainie  jugosłowiańskie czołgi bojowe .  to wariant radzieckiego    ,17,2022-04-21 22:53:52+00:00,propeertys,"Stamford, England",False
8,1517274921621196800,"   jest najsłabszy w historii! CAŁOŚĆ:   
 Mariupol  …",35,2022-04-21 22:51:45+00:00,mthechristian,,False
9,1517273658212995074,"Jednym z powodów, dla których Czechy wysyłają Ukrainie tak dużą pomoc wojskową, jest nowy minister obrony kraju.

Jana Černochová od lat otwarcie krytykuje Putina i zawsze powtarza, że ​​Czechy muszą stawić czoła tym państwom, które próbują zastraszać innych.   ",18,2022-04-21 22:46:44+00:00,propeertys,"Stamford, England",False
10,1517273371154788354,"  Ukraińska obrona powietrzna uderzała w  celów powietrznych armii rosyjskiej dziennie:

 samoloty (, , …",5,2022-04-21 22:45:35+00:00,galadorzgakharg,Ustka/Sopot/Gdańsk,False
11,1517273100756340738,"Ukraińska obrona powietrzna uderzała w  celów powietrznych armii rosyjskiej dziennie:

 samoloty (, , )

 śmigłowce (  i )

 dronów ()  ",5,2022-04-21 22:44:31+00:00,propeertys,"Stamford, England",False
12,1517262439464812549,"  Liczba uchodźców z Ukrainy w ciągu ostatnich  miesięcy. 

  

",7,2022-04-21 22:02:09+00:00,adjust197,,False
13,1517257365267042305,"   Zestrzelony helikopter  Kilka dni temu...

   
   …",2,2022-04-21 21:41:59+00:00,xprzemo,Polska,False
14,1517257312485978117,"   Zestrzelony helikopter  Kilka dni temu!

   
   …",1,2022-04-21 21:41:47+00:00,xprzemo,Polska,False
15,1517256318410801154,Płaczcie pisowcy i lewaczki. Jak to wytłumaczycie       ,1,2022-04-21 21:37:50+00:00,Jurus420,W Twojej Starej,False
16,1517255335764975622,"Dla rasistów dzisiaj jest „CZARNY DZIEŃ” na  niebie.
 Za te minuty zestrzeliły Siły Zbrojne Ukrainy:

 Myśliwiec 
 Myśliwiec Su 
 Samolot szturmowy  -  sztuki
 Helikopter  -  sztuki
 Śmigłowiec 
 BSP 

 Chwała Siłom Zbrojnym  !!! ",0,2022-04-21 21:33:55+00:00,AW175,Polska,False
17,1517252558863187969,  W Mariupolu Rosjanie rozpoczęli rozbiórkę gruzów teatru dramatycznego i wynoszenie ciał zmarłych spod gruzów. Czytaj: za…,7,2022-04-21 21:22:53+00:00,M_Brandfathers,"Warszawa, Polska",False
18,1517248390215647234,"Liczba uchodźców z Ukrainy w ciągu ostatnich  miesięcy. 

  

",7,2022-04-21 21:06:19+00:00,MariuszCiarka,"Warszawa, Polska",False
19,1517247015721254912,"  Kadyrow udostępnił nagranie jak Czeczenscy żołnierze cieszą się z ""wyzwolenia""  
 ",1,2022-04-21 21:00:52+00:00,Arotoko,,False
20,1517246920640528384,  Palec w nodze...     ,1,2022-04-21 21:00:29+00:00,xprzemo,Polska,False
21,1517245604572897285,"   | Ambasada rosyjska w Polsce.

        ",7,2022-04-21 20:55:15+00:00,tamara_tamrys,,False
22,1517244143675883522,"  Obawiam się, że nic lepszego dzisiaj nie zobaczycie.
    ",36,2022-04-21 20:49:27+00:00,tamara_tamrys,,False
23,1517242757433151488,"UE zgodziła się kupować broń ciężką dla Ukrainy

‼ WOJNA na , ⃣. dzień walk, relacja ‼  


             ",0,2022-04-21 20:43:57+00:00,radiolodz,Polska,False
24,1517241648425672706,"  Ujęcia zestrzelonego  i 
Przez armie   ",2,2022-04-21 20:39:32+00:00,YoloBlaster,,False
25,1517240718900834304,"UE zgodziła się na zakup ciężkiej broni do bezpłatnego transferu na Ukrainę – przewodniczący Rady Europejskiej Charles Michel
Unia Europejska podjęła decyzję o zakupie ciężkiej broni dla Ukrainy, aby stawić opór rosyjskiemu okupantowi   ",44,2022-04-21 20:35:51+00:00,propeertys,"Stamford, England",False
26,1517239257383022592,"Idź się pieprzyć, Putin!
(Polish)

   ",0,2022-04-21 20:30:02+00:00,FuckPutinBot,,False
27,1517238604279468036," Zestrzelony helikopter  Kilka dni temu!

   
             Ukraine Russia  ",1,2022-04-21 20:27:26+00:00,xprzemo,Polska,False
28,1517238423794372615,"Za darmo nawet w pysk nie dostaniesz.
Nie łudź się - rachunek z USA przyjdzie później i będzie to słony rachunek. Bardzo słony. 

     ",0,2022-04-21 20:26:43+00:00,jan_czapski,,False
29,1517237796456521728," Dyplomatyczne podsumowanie dzisiejszego dnia wojny w Ukrainie:

       ",0,2022-04-21 20:24:14+00:00,sowa_mm,"Subcarpathia, Poland",False
30,1517236807448072194,"  A oto ten „przystojny mężczyzna”, który został zestrzelony nad Izyum przez wojska   ",7,2022-04-21 20:20:18+00:00,Krzyszt89283237,"Zabrze, Polska",False
31,1517236692381577217,         … Być może ?,4,2022-04-21 20:19:51+00:00,PulsPomorza,,False
32,1517236100661710849,"""Ciężka ayleria pułapki masowo trafiła na "" - Arestowicz

""Na Zachodzie rozpoczął się konkurs ""Kto da  więcej broni?"" Są tam ,  , , prawdopodobnie  i wiele innych. Mówią od ciężkiej aylerii, specjalnych  dla . ",0,2022-04-21 20:17:29+00:00,ZeXeLife,Świat,False
33,1517235650583576576,  Właśnie jechałem pociągiem relacji Warszawa-Przemyśl a ze mną tajemniczy goście w moro z plecakami wojskowymi i naszywkami z fl…,1,2022-04-21 20:15:42+00:00,RobertKosRobos,,False
34,1517235383599251457,Właśnie jechałem pociągiem relacji Warszawa-Przemyśl a ze mną tajemniczy goście w moro z plecakami wojskowymi i naszywkami z flagą . Powodzenia panowie    ,1,2022-04-21 20:14:38+00:00,L0L_3k,,False
35,1517235066434375681,"   Russian Humanitarian Corridors
[Rosyjskie korytarze humanitarne]

Gonzalo Lira (Coach Red Pill), Kharkiv,  
YT:…",2,2022-04-21 20:13:23+00:00,KarasekUS,,False
36,1517234978987421696,             …,49,2022-04-21 20:13:02+00:00,Agniesz29435112,,False
37,1517232908767055873,  CLIP                gg ,0,2022-04-21 20:04:48+00:00,BastardHegels,,False
38,1517232691250405378,   zestrzelony przez armie   Zaporoże ,2,2022-04-21 20:03:57+00:00,AW175,Polska,False
39,1517232639463284737,"  Kolejny rosyjski dron  został zestrzelony przez . Brygadę Zmechanizowaną Armii Ukraińskiej.
  …",1,2022-04-21 20:03:44+00:00,BPotrubacz,"Gdańsk, Poland",False
40,1517232036444086272,"  Polowanie na ruskich. Kilku chłopa, terenówka, dron, jakieś RPG i jazda  
  
 ",4,2022-04-21 20:01:20+00:00,BPotrubacz,"Gdańsk, Poland",False
41,1516923546261413890,"  ArestowiczDoradca Zelenskiego -""Narodową ideą Ukrainy jest kłamstwo. Kłamać dla siebie i innych .. inaczej wszystko sie…",1,2022-04-20 23:35:31+00:00,shubrawiec,,False
42,1516921803905671169,"  Krótki, wieczorny gruz-news.
Dyliżans orków wraz z obsługą wysłany do diabła.
Dokładny czas i miejsce nieznane.
Można p…",6,2022-04-20 23:28:35+00:00,duk_jacek,"Siedlce, POLSKA",False
43,1516913163614269442,"Ukraińscy designerzy stworzyli prześmiewczy projekt pomnika rosyjskiego żołnierza , który przedstawia postać w hełmie z muszlą klozetową pod pachą 
Napis na cokole informuje, że jest on dedykowany szabrownikom rozkradającym mienie mieszkańców .
",0,2022-04-20 22:54:15+00:00,m_pasierb,🇵🇱,False
44,1516911675303157760,"  Dmytro, ukraiński kierowca, biblijny chrześcijanin
o sytuacji w Ukrainie - teraz na żywo w wywiadzie dla !

 ",23,2022-04-20 22:48:20+00:00,ZawdzkiP,Plock,False
45,1516911096967274496,"  Międzynarodówka  w akcji!   
   
ht…",17,2022-04-20 22:46:03+00:00,PrzyjacielIPP,,False
46,1516911041908596738,"  
Gów...y kraj?

Charoszij atwiet! Odpowiedź prawidłowa!

Ruski oligarcha o swojej ojczyźnie.  …",18,2022-04-20 22:45:49+00:00,PrzyjacielIPP,,False
47,1516909551693570048,  Kadyrowcy nagrywali film na Tik-tok strzelając do pustego celu do czasu aż armia   im posłała strzał z pancerfaus…,22,2022-04-20 22:39:54+00:00,Jacek87804868,"Warszawa, Polska",False
48,1516908790859419650,  Członkowie  to współcześni  spaan    ,12,2022-04-20 22:36:53+00:00,Irena63iren,Polska,False
49,1516907422610341889,"  Piszą, że tak potężny blask zaobserwowano dzisiaj w rejonie Równem   ",5,2022-04-20 22:31:26+00:00,galadorzgakharg,Ustka/Sopot/Gdańsk,False
50,1516905019278348290,  CLIP                gg ,0,2022-04-20 22:21:53+00:00,BastardHegels,,False
51,1516904049412554752,"Idź się pieprzyć, Putin!
(Polish)

   ",0,2022-04-20 22:18:02+00:00,FuckPutinBot,,False
52,1516903801487302656,           Ładna jest.. jakby tylko Chciała wojnę zakończyć.  and  - !,0,2022-04-20 22:17:03+00:00,Jarek2045,Bytów,False
53,1516903712240898049,"  Czernihów, film z drona pokazujący jak w tej chwili wygląda miasto.

      …",1,2022-04-20 22:16:42+00:00,Brak08278935,,False
54,1516902878446862339,Członkowie  to współcześni  spaan    ,12,2022-04-20 22:13:23+00:00,propeertys,"Stamford, England",False
55,1516902121639137280,"Piszą, że tak potężny blask zaobserwowano dzisiaj w rejonie Równem   ",5,2022-04-20 22:10:23+00:00,propeertys,"Stamford, England",False
56,1516901744697032705,"  Separatyści znów przegrali

W walkach o Awdijewkę wykorzystano dowódcę drugiej kompanii batalionu Spay Siergieja Agranowi…",2,2022-04-20 22:08:53+00:00,krzysztof_dykas,"Warsaw, Poland",False
57,1516901491575042049,"Separatyści znów przegrali

W walkach o Awdijewkę wykorzystano dowódcę drugiej kompanii batalionu Spay Siergieja Agranowicza, znanego pod znakiem wywoławczym Wodjanoj Armia  go zlikwidowała  ",2,2022-04-20 22:07:52+00:00,propeertys,"Stamford, England",False
